"","fw101","fw000","fw102","fw103","fw104","fw105","fw106","fw107","fw108","fw109","fw110","fw111","fw112","fw113a","fw113b","fw113c","fw113d","fw113e","fw113f","fw113g","fw113h","fw113i","fw113x","fw113y","fw114","fw115","fw116","fw117","fw118"
"1",101,"NG7",1,1,43,2,1,3,2,3,4,1,6,"A","","","D","","","","","","","",4,1,1,1,1
"2",102,"NG7",1,1,42,2,1,2,2,3,4,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"3",103,"NG7",1,1,35,2,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,2,1,1,1
"4",104,"NG7",15,1,38,1,6,0,2,3,6,2,6,"A","","","D","","","","","","","",4,2,1,1,1
"5",105,"NG7",1,1,30,2,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,2,2,2,NA
"6",106,"NG7",15,1,39,1,1,0,2,3,8,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"7",107,"NG7",1,1,45,1,1,4,2,3,4,1,6,"A","","","D","","","","","","","",4,1,1,1,1
"8",108,"NG7",1,1,29,2,6,0,2,3,5,2,6,"A","B","","D","","","","","","","",4,2,2,2,NA
"9",109,"NG7",1,1,49,1,1,7,2,3,6,2,6,"A","","","D","","","","","","","",4,2,2,2,NA
"10",201,"NG7",2,1,36,2,6,0,2,3,6,2,96,"A","B","","","","","","","","X","",96,2,1,1,1
"11",202,"NG7",2,2,39,1,1,1,2,3,4,2,96,"A","B","","","","","","","","X","",2,2,1,1,1
"12",203,"NG7",2,1,32,2,1,1,2,3,4,2,96,"A","B","","","","","","","","X","",96,2,1,1,1
"13",204,"NG7",2,2,40,2,1,5,2,3,2,3,96,"A","B","","","","","","","","X","",96,1,1,1,1
"14",205,"NG7",15,1,34,1,1,1,2,3,4,2,96,"A","B","","","","","","H","","X","",96,2,1,1,1
"15",207,"NG7",2,1,37,2,3,0,2,3,2,2,96,"A","B","","","","","","","","X","",96,1,1,1,1
"16",208,"NG7",2,2,33,1,1,0,2,3,4,2,96,"A","B","","","","","","","","X","",2,2,1,1,1
"17",209,"NG7",2,1,47,1,1,1,2,3,7,2,96,"A","B","","","","","","","","X","",96,2,1,2,NA
"18",210,"NG7",2,1,38,1,1,1,2,3,3,1,96,"A","B","","","","","","H","","X","",96,2,1,2,NA
"19",301,"NG7",3,2,36,2,6,0,2,3,4,1,10,"A","","C","","","F","","","","","",3,2,1,1,1
"20",302,"NG7",3,1,48,2,1,1,2,3,6,2,96,"A","","","","","F","","","","","",6,2,1,1,1
"21",303,"NG7",3,2,40,2,1,2,2,3,4,2,4,"A","","","","","F","","","","","",6,2,1,1,1
"22",304,"NG7",3,1,34,1,6,0,2,3,6,2,4,"A","","","","","F","","","","X","",96,2,1,1,2
"23",305,"NG7",3,1,34,2,6,0,2,3,4,2,96,"A","","","","","","","","","X","",96,2,1,1,1
"24",306,"NG7",15,1,30,1,1,0,2,3,4,1,10,"","","","D","","","","","","","",4,2,1,1,1
"25",307,"NG7",3,1,43,1,6,0,2,3,5,1,96,"A","","","","","F","","","","X","",96,2,1,1,1
"26",308,"NG7",3,2,39,2,1,3,2,3,4,2,4,"A","","","","","F","","","","","",6,2,2,2,NA
"27",309,"NG7",3,2,45,2,1,3,2,3,4,2,4,"A","","","","","F","","","","X","",6,1,1,2,NA
"28",401,"NG7",4,1,44,2,1,5,2,3,6,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"29",402,"NG7",4,1,27,1,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,2,2,2,NA
"30",403,"NG7",15,1,38,2,1,3,2,3,4,2,6,"A","","","D","","","","","","","",4,2,1,1,1
"31",404,"NG7",4,2,39,2,6,0,2,3,4,1,6,"A","","","D","","","","","","","",4,2,2,1,1
"32",405,"NG7",4,1,50,1,1,4,2,3,4,2,6,"A","","","D","","","","","","","",4,2,1,1,1
"33",406,"NG7",4,2,46,2,1,4,2,3,4,1,6,"A","","","D","","","","","","","",4,2,2,1,1
"34",408,"NG7",4,1,53,1,1,3,2,3,4,1,6,"A","","","D","","","","","","","",4,1,1,1,1
"35",410,"NG7",4,1,38,2,1,4,2,3,4,1,6,"A","","","D","","","","","","","",4,2,2,2,NA
"36",411,"NG7",4,2,50,2,1,7,2,3,6,1,6,"A","","","D","","","","","","","",4,2,1,2,NA
"37",501,"NG7",5,1,40,2,6,0,2,3,4,2,96,"A","B","","","","","","","","X","",2,1,1,2,NA
"38",502,"NG7",5,1,38,2,4,0,1,3,4,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"39",503,"NG7",15,1,35,1,1,2,2,3,4,3,2,"A","B","","","","","","H","","","",2,2,1,1,1
"40",504,"NG7",5,2,34,1,6,0,2,3,4,2,96,"A","B","","","","","","","","","",2,2,1,1,1
"41",505,"NG7",5,1,28,2,1,2,2,3,3,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"42",506,"NG7",5,1,49,2,1,2,1,3,5,2,96,"A","B","","","","","","","","X","",96,1,1,2,NA
"43",507,"NG7",5,2,48,1,1,6,2,3,2,3,3,"A","B","","","","","","","","","",2,1,1,1,1
"44",508,"NG7",5,1,48,1,1,5,1,3,4,3,96,"A","B","","","","","","","","","",2,2,1,2,NA
"45",509,"NG7",5,2,32,2,1,3,2,3,3,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"46",601,"NG7",6,1,40,2,1,5,2,3,6,2,7,"A","","","","","","","","","X","",96,2,2,1,1
"47",602,"NG7",6,1,53,1,1,4,2,3,4,1,6,"A","B","","D","","","","","","X","",4,2,2,2,NA
"48",603,"NG7",6,1,37,1,1,3,2,3,5,2,7,"A","","","","","","","","","X","",96,2,2,2,NA
"49",604,"NG7",6,2,43,2,5,1,1,3,4,2,7,"A","","","","","","","","","X","",96,1,2,1,1
"50",605,"NG7",3,1,40,2,5,2,2,3,4,1,4,"A","","","","","F","","","","X","",6,2,1,1,2
"51",606,"NG7",6,1,43,2,1,7,2,3,4,2,7,"A","","","","","","","","","X","",96,2,2,1,1
"52",607,"NG7",6,2,42,2,4,1,1,3,4,2,7,"A","","","","","","","","","X","",96,1,1,1,1
"53",608,"NG7",15,1,26,1,6,0,1,3,7,2,7,"A","","","","","","","","","X","",1,2,2,1,1
"54",609,"NG7",6,1,47,2,6,0,2,3,8,2,7,"A","","C","","","","","","","X","",3,2,1,2,NA
"55",610,"NG7",6,1,40,1,1,2,2,3,6,2,7,"A","","","","","","","","","X","",96,2,2,2,NA
"56",701,"NG7",15,1,33,2,1,1,2,3,4,2,96,"A","","","","","","","","","X","",96,2,1,1,1
"57",702,"NG7",7,2,32,1,6,0,2,3,4,2,96,"A","","","","","","","","","X","",96,2,1,2,NA
"58",703,"NG7",15,1,35,1,6,0,2,3,6,1,96,"A","B","","D","","","","","","X","",96,2,1,1,1
"59",704,"NG7",7,2,32,2,6,0,2,3,6,2,96,"A","B","","","","","","","","X","",96,2,1,2,NA
"60",705,"NG7",7,2,38,2,6,0,2,3,4,1,9,"A","","","","","","","","","X","",96,2,1,1,1
"61",706,"NG7",7,3,35,2,1,5,2,3,3,2,96,"A","","","","","","","","","X","",96,2,2,1,1
